Lemma	Count in book	Count in Hebrew Bible	Gloss
חֲרָדָה	1	9	trembling|fear|anxiety
צָפָה	1	47	lay out|lay over
צָפִית	1	1	rug|carpet|laid out
מִצְפֶּה	1	2	
מִשְׁמֶ֫רֶת	1	78	guard|watch|charge|function
מְדֻשָֿׁה	1	1	that which is threshed
גֹּ֫רֶן	1	37	threshing-floor
דּוּמָה	1	4	
שֵׂעִיר	1	36	Sē‛ir
אֹרְחָה	1	2	travelling company|caravan
דְּדָנִי	1	1	
תֵּימָא	1	5	
מָעַט	1	22	be|become small|diminished|few
תְּשֻׁאָה	1	4	noise
אוּץ	1	10	press|be pressed|make haste
מְהוּמָה	1	12	tumult|confusion|disquietude|discomfiture
מְבוּכָה	1	2	confusion|confounding
קָרַר	1	2	tear down
שׁוֹעַ	1	1	cry|war-cry|cry for help
קִיר	1	4	
מָסָךְ	1	25	covering|screen
נֶ֫שֶׁק	1	10	equipment|weapons|armoury
בְּקִיעַ	1	2	fissure|breach
תַּחְתּוֹן	1	13	lower|lowest
נָתַץ	1	42	pull down|break down
מִקְוָה	1	1	reservoir
יָשָׁן	1	7	old|withered|flabby
מִסְפֵּד	1	14	wailing
סָכַן	1	12	be of use|service|benefit
טוּל	1	14	hurl|cast
טַלְטֵלָה	1	1	a hurling
גֶּ֫בֶר	1	65	man|man
צְנֵפָה	1	1	winding
כַּדּוּר	1	1	ball|circle|cordon
קָלוֹן	1	17	ignominy|dishonour
הָדַף	1	11	thrust|push|drive
מַצָּב	1	10	standing-place|station|garrison
מַעֲמָד	1	5	office|function|service
כֻּתֹּ֫נֶת	1	29	tunic
אַבְנֵט	1	9	girdle
מַפְתֵּחַ	1	2	key|opening instrument
תָּלָה	1	29	hang
צְפִיעָה	1	1	offshoot
אַגָּן	1	3	bowl|basin
דָּמַם	1	1	wail
שִׁיחוֹר	1	4	
קַדְמָה	1	6	antiquity|former state
עָטַר	1	5	crown
כְּנַ֫עַן	1	4	merchant|s
מֵ֫זַח	1	2	girdle
עָלַז	1	17	exult
חסן	1	1	be strong|take possession of
עָתִיק	1	1	eminent|surpassing|choice
בָּלַק	1	2	waste|lay waste
נָשָׁא	1	4	lend on interest|usury|be a creditor
חָנֵף	1	11	be polluted|profane
אָלָה	1	36	oath
אָשַׁם	1	35	offend|be guilty
חָרַר	1	11	be hot|scorched|burn
אָנַח	1	12	sigh|groan
שָׂמֵחַ	1	20	glad|joyful|merry
צְוָחָה	1	4	outcry
עָרַב	1	3	become evening|grow dark
שְׁאִיָּה	1	1	ruin
אֻרִים	1	1	region of light|East
בֶּ֫גֶד	1	2	treachery
אֲסֵפָה	1	1	a collecting|gathering
אֹ֫מֶן	1	1	faithfulness
כָּנַע	1	36	be humble
מָחָה	1	1	full of marrow
זָקַק	1	7	refine|purify
לוֹט	1	1	envelope|covering
לוּט	1	3	wrap closely|tightly|enwrap|envelope
נָסַךְ	1	1	weave
מַתְבֵן	1	1	straw-heap
מַדְמֵנָה	1	1	dung-place|dung-pit
אָרְבָּה	1	1	artifice|tricks of his hands
אֵמֻן	1	5	trusting|faithfulness
יָשָׁר	1	119	straight|right
פָּלַס	1	6	weigh|make level
תַּאֲוָה	1	21	desire
אָוָה	1	28	incline|desire
שָׁחַר	1	12	look early|diligently for
עָוַל	1	2	act wrongfully
שָׁפַת	1	5	set
קָ֫צוּ	1	3	end|boundary
צוּק	1	3	pour out|melt
אוֹרָה	1	3	light
חֶ֫דֶר	1	38	chamber|room
חָבָה	1	5	withdraw|hide
עֲקַלָּתוֹן	1	1	crooked
עָנָה	1	14	sing
פָּשַׂע	1	1	step|march
יָצַת	1	1	kindle|burn
צוּץ	1	8	blossom|shine|sparkle
תְּנוּבָה	1	5	fruit|produce
סֵאסֵא	1	1	by driving her|away
הָגָה	1	3	remove
קָדִים	1	69	East|east wind
גִּר	1	1	chalk|lime
נָפַץ	1	18	shatter
בָּדָד	1	10	isolation|separation
קָצִיר	1	5	boughs|branches
שִׁבֹּ֫לֶת	1	4	flowing stream
שַׂ֫עַר	1	1	storm
קֶ֫טֶב	1	3	destruction
צִיץ	1	1	blossom|flower|shining thing
בִּכּוּרִים	1	18	first-fruits
צְפִירָה	1	3	plait|chaplet|chaplet|coronet|diadem
רֹאֶה	1	1	vision
פּוּק	1	2	reel|totter
פְּלִילִיָּה	1	1	the giving a decision
עַתִּיק	1	2	removed|old
לָעֵג	1	2	mocking
מַרְגֵּעָה	1	1	rest|repose
לָצוֹן	1	3	scorning
בֹּ֫חַן	1	1	testing
יָקָר	1	36	precious|rare|splendid|weighty
מוּסָד	1	2	foundation|foundation-laying
מִשְׁקֶ֫לֶת	1	2	levelling instrument|level
יָעָה	1	1	sweep together|carrying away
זְוָעָה	1	7	a trembling|object of trembling|terror
מַצָּע	1	1	couch|bed
שָׂרַע	1	3	extend
כָּנַס	1	11	gather|collect
פֶּ֫רֶץ	1	1	
גִּבְעוֹן	1	37	
שָׂדַד	1	3	harrow
זָרַק	1	35	to toss|throw|scatter abundantly
חִטָּה	1	30	wheat
שׂוֹרָה	1	1	in rows
שְׂעֹרָה	1	34	barley|bearded
סמן	1	1	in an appointed place|a determined portion
כֻּסֶּ֫מֶת	1	3	spelt
אוֹפַן	1	35	wheel
אדשׁ	1	1	
הָמַם	1	16	make a noise|move noisily|confuse|discomfit
גִּלְגָּל	1	1	wheel
פָּרָשׁ	1	5	horse|steed
תּוּשִׁיָּה	1	12	sound|efficient wisdom|abiding success
אֲנִיָּה	1	2	mourning
אֲנִיָּה	1	2	mourning
דּוּר	1	2	circle|ball
מֻצָּב	1	1	palisade|intrenchment
מְצוּרָה	1	8	siege-works|rampart
רַ֫עַם	1	6	thunder
חֲלוֹם	1	64	dream
מְצוֹדָה	1	2	fastness|stronghold
רֵיק	1	14	empty|vain
מָהַהּ	1	9	linger|tarry
תַּרְדֵּמָה	1	7	deep sleep
הֶ֫פֶךְ	1	1	the contrary|contrariness|perversity
אֹ֫פֶל	1	9	darkness|gloom
שָׁקַד	1	12	watch|wake
קוּשׁ	1	1	lay bait|lure
חָוַר	1	1	be|grow white|pale
רָגַן	1	3	murmur|whisper
לֶ֫קַח	1	9	learning|teaching|what is received
עָזַז	1	12	be strong
חָסוּת	1	1	refuge
חָנֵס	1	1	
עֵ֫זֶר	1	22	help|succour
לַ֫יִשׁ	1	3	lion
דַּבֶ֫שֶׁת	1	1	
רַ֫הַב	1	3	storm|arrogance
שֶׁ֫בֶת	1	3	cessation
לוּחַ	1	43	tablet|board|plank|plate
מְרִי	1	23	rebellion
כֶּחָשׁ	1	1	deceptive|false
חֶלְקָה	1	6	smooth part|smoothness|flattery
מַֽהֲתַלּוֹת	1	1	illusions
לוּז	1	6	turn aside|depart
מְכִתָּה	1	1	the crushed|pulverized|crushed fragments
חָתָה	1	4	snatch up
גֶּ֫בֶא	1	2	cistern|pool
שׁוּבָה	1	1	retirement|withdrawal
נַ֫חַת	1	7	quietness|rest
בִּטְחָה	1	1	trusting
לַ֫חַץ	1	12	oppression|distress
כָּנַף	1	1	be cornered|thrust into a corner|aside
יָמַן	1	1	go to|choose the right|use the right hand
שִׂמְאֵל	1	5	take the left
טָמֵא	1	161	be|become unclean
צִפּוּי	1	5	plating
אֲפֻדָּה	1	3	ephod
דָּוֶה	1	5	faint|unwell
דָּשֵׁן	1	3	fat
שָׁמֵן	1	10	fat|robust
מִקְנֶה	1	76	cattle
כַּר	1	3	pasture
אֶ֫לֶף	1	8	cattle
בְּלִיל	1	3	fodder
חָמִיץ	1	1	seasoned
רַ֫חַת	1	1	winnowing-shovel
מִזְרֶה	1	2	pitch-fork
שִׁבְעָתַיִם	1	6	seven-fold|seven times
מַ֫חַץ	1	1	severe wound
מַשָּׂאָה	1	1	the uplifted
חָצָה	1	15	divide
נָפָה	1	1	sieve
רֶ֫סֶן	1	4	
הוֹד	1	24	splendour|majesty|vigour
נַ֫חַת	1	1	descent
זַ֫עַף	1	6	storming|raging|rage
נֶ֫פֶץ	1	1	driving storm|bursting
מַעֲבָר	1	3	ford|pass|passing
מוּסָדָה	1	2	foundation|appointment|rod of appointment|foundations|founded|furnished with foundations
תְּמוֹל	1	8	yesterday|recently|formerly
תׇּפְתֶּה	1	1	
מְדוּרָה	1	2	pile|pyre
עָצֹם	1	18	be vast|mighty|numerous
צִפּוֹר	1	40	bird
פָּסַח	1	4	pass|spring over
מַס	1	23	body of forced labourers|task-workers|labour-band|gang|forced service|task-work|serfdom
מָגוֹר	1	8	fear|terror
תַּנּוּר	1	15	stove|fire-pot
